,Class,Precision,Recall,F1-Score
0,0,0.8568376068376068,0.802,0.8285123966942148
1,1,0.7367521367521368,0.862,0.7944700460829494
2,2,0.6787564766839378,0.524,0.5914221218961625
3,3,0.6497005988023952,0.434,0.5203836930455635
4,4,0.8659420289855072,0.478,0.615979381443299
5,5,0.7169811320754716,0.456,0.5574572127139364
6,6,0.8225806451612904,0.612,0.7018348623853211
7,7,0.609375,0.39,0.47560975609756095
8,8,0.9208860759493671,0.582,0.7132352941176471
9,9,0.4975767366720517,0.616,0.550491510277033
10,10,0.4054945054945055,0.738,0.5234042553191489
11,11,0.5862068965517241,0.476,0.5253863134657837
12,12,0.7463976945244957,0.518,0.6115702479338843
13,13,0.8118279569892473,0.604,0.6926605504587156
14,14,0.5026178010471204,0.384,0.43537414965986393
15,15,0.8015665796344648,0.614,0.695356738391846
16,16,0.5014970059880239,0.67,0.5736301369863014
17,17,0.9132075471698113,0.484,0.6326797385620915
18,18,0.7020785219399538,0.608,0.6516613076098606
19,19,0.4676056338028169,0.664,0.5487603305785124
20,20,0.9368421052631579,0.356,0.5159420289855072
21,21,0.9265175718849841,0.58,0.7134071340713407
22,22,0.5336194563662375,0.746,0.622185154295246
23,23,0.494824016563147,0.956,0.6521145975443383
24,24,0.6510416666666666,0.25,0.36127167630057805
25,25,0.4953416149068323,0.638,0.5576923076923077
26,26,0.43902439024390244,0.684,0.5347928068803753
27,27,0.9056603773584906,0.768,0.8311688311688312
28,28,0.504881450488145,0.724,0.5949055053410025
29,29,0.6017699115044248,0.68,0.6384976525821596
30,30,0.9518072289156626,0.632,0.7596153846153846
31,31,0.9367816091954023,0.652,0.7688679245283019
32,32,0.610705596107056,0.502,0.5510428100987925
33,33,0.7951582867783985,0.854,0.8235294117647058
34,34,0.9178082191780822,0.67,0.7745664739884393
35,35,0.7923875432525952,0.458,0.5804816223067174
36,36,0.899343544857768,0.822,0.8589341692789969
37,37,0.8252148997134671,0.576,0.6784452296819788
38,38,0.8931750741839762,0.602,0.7192353643966547
39,39,0.7412935323383084,0.596,0.6607538802660754
40,40,0.148539778449144,0.59,0.23732904263877716
41,41,0.819672131147541,0.3,0.43923865300146414
42,42,0.6717325227963525,0.884,0.7633851468048359
43,43,0.9716312056737588,0.822,0.8905742145178764
44,44,0.5524256651017214,0.706,0.6198419666374012
45,45,0.5844827586206897,0.678,0.6277777777777778
46,46,0.36766334440753046,0.664,0.47327156094084105
47,47,0.8770685579196218,0.742,0.8039003250270856
48,48,0.635593220338983,0.45,0.5269320843091335
49,49,0.7303149606299213,0.742,0.7361111111111112
50,50,0.4599447513812155,0.666,0.5441176470588235
51,51,0.835820895522388,0.336,0.4793152639087018
52,52,0.8738738738738738,0.582,0.6986794717887155
53,53,0.7445544554455445,0.752,0.7482587064676617
54,54,0.47374847374847373,0.776,0.5883244882486732
55,55,0.8091872791519434,0.458,0.5849297573435505
56,56,0.96875,0.744,0.8416289592760181
57,57,0.7357142857142858,0.618,0.6717391304347826
58,58,0.7975,0.638,0.7088888888888889
59,59,0.7357414448669202,0.774,0.7543859649122807
60,60,0.6981132075471698,0.74,0.7184466019417476
61,61,0.5849802371541502,0.888,0.7053216838760922
62,62,0.6081771720613288,0.714,0.6568537258509659
63,63,0.9019073569482289,0.662,0.7635524798154556
64,64,0.5307994757536042,0.81,0.6413301662707839
65,65,0.6940874035989717,0.54,0.6074240719910011
66,66,0.92,0.736,0.8177777777777778
67,67,0.3667296786389414,0.776,0.4980744544287548
68,68,0.9763779527559056,0.496,0.6578249336870027
69,69,0.536741214057508,0.672,0.5968028419182948
70,70,0.7323135755258127,0.766,0.7487781036168133
71,71,0.7156673114119922,0.74,0.727630285152409
72,72,0.7142857142857143,0.49,0.5812574139976275
73,73,0.3823264201983769,0.848,0.5270354257302673
74,74,0.5980582524271845,0.616,0.6068965517241379
75,75,0.83,0.498,0.6225
76,76,0.5975232198142415,0.772,0.6736474694589878
77,77,0.7462311557788944,0.594,0.6614699331848553
78,78,0.6834061135371179,0.626,0.6534446764091858
79,79,0.6198830409356725,0.636,0.6278381046396841
80,80,0.946875,0.606,0.7390243902439024
81,81,0.8737864077669902,0.54,0.6674907292954264
82,82,0.8753180661577609,0.688,0.7704367301231803
83,83,0.6328828828828829,0.562,0.5953389830508474
84,84,0.7146814404432132,0.516,0.5993031358885017
85,85,0.6992753623188406,0.772,0.7338403041825095
86,86,0.625,0.5,0.5555555555555556
87,87,0.5344129554655871,0.792,0.6381950040290089
88,88,0.8711018711018711,0.838,0.854230377166157
89,89,0.9324324324324325,0.414,0.5734072022160664
90,90,0.8938775510204081,0.438,0.5879194630872483
91,91,0.7483870967741936,0.696,0.7212435233160622
92,92,0.634508348794063,0.684,0.65832531280077
93,93,0.6423529411764706,0.546,0.5902702702702702
94,94,0.9017094017094017,0.844,0.871900826446281
95,95,0.8241042345276873,0.506,0.6270136307311028
96,96,0.7696428571428572,0.862,0.8132075471698114
97,97,0.8821138211382114,0.868,0.875
98,98,0.7428571428571429,0.52,0.611764705882353
99,99,0.2749476622470342,0.788,0.40765649249870667
